question,dateFinished,dueDate,action_code,activityNameEN,planned,time:timestamp,monitoringResource,org:resource,activityNameNL,concept:name,lifecycle:transition,case:endDate,case:caseStatus,case:SUMleges,case:last_phase,case:case_type,case:concept:name,case:Responsible_actor,case:parts,case:termName,case:endDatePlanned,case:startDate,case:requestComplete,case:IDofConceptCase,case:landRegisterID,case:caseProcedure,case:Includes_subCases,dateStop
EMPTY,2014-04-14 00:00:00+00:00,2014-04-17 07:30:39+00:00,01_HOOFD_010,register submission date request,2014-04-15 07:30:39+00:00,2014-04-10 22:00:00+00:00,2670601,9264148,registratie datum binnenkomst aanvraag,01_HOOFD_010,complete,2014-07-17 22:00:00+00:00,O,157.09305,Beschikking verzonden,557669,10009138,560464.0,"Bouw,Reclame",Termijn bezwaar en beroep 1,2014-07-17 22:00:00+00:00,2014-04-10 22:00:00+00:00,True,10009280.0,,,,
False,2014-04-14 00:00:00+00:00,,01_HOOFD_011,OLO messaging active,2014-04-15 07:34:03+00:00,2014-04-13 22:00:00+00:00,2670601,9264148,OLO berichtenverkeer actief,01_HOOFD_011,complete,2014-07-17 22:00:00+00:00,O,157.09305,Beschikking verzonden,557669,10009138,560464.0,"Bouw,Reclame",Termijn bezwaar en beroep 1,2014-07-17 22:00:00+00:00,2014-04-10 22:00:00+00:00,True,10009280.0,,,,
True,2014-04-14 00:00:00+00:00,,01_HOOFD_020,send confirmation receipt,2014-04-15 07:34:03+00:00,2014-04-13 22:00:00+00:00,2670601,9264148,versturen ontvangstbevestiging,01_HOOFD_020,complete,2014-07-17 22:00:00+00:00,O,157.09305,Beschikking verzonden,557669,10009138,560464.0,"Bouw,Reclame",Termijn bezwaar en beroep 1,2014-07-17 22:00:00+00:00,2014-04-10 22:00:00+00:00,True,10009280.0,,,,
False,2014-04-14 00:00:00+00:00,2014-04-21 07:37:17+00:00,02_DRZ_010,forward to the competent authority,2014-04-15 07:37:17+00:00,2014-04-13 22:00:00+00:00,2670601,9264148,doorsturen aan bevoegd gezag,02_DRZ_010,complete,2014-07-17 22:00:00+00:00,O,157.09305,Beschikking verzonden,557669,10009138,560464.0,"Bouw,Reclame",Termijn bezwaar en beroep 1,2014-07-17 22:00:00+00:00,2014-04-10 22:00:00+00:00,True,10009280.0,,,,
True,2014-04-14 00:00:00+00:00,,04_BPT_005,regular procedure without MER,2014-04-15 07:37:22+00:00,2014-04-13 22:00:00+00:00,2670601,9264148,reguliere procedure zonder MER,04_BPT_005,complete,2014-07-17 22:00:00+00:00,O,157.09305,Beschikking verzonden,557669,10009138,560464.0,"Bouw,Reclame",Termijn bezwaar en beroep 1,2014-07-17 22:00:00+00:00,2014-04-10 22:00:00+00:00,True,10009280.0,,,,
False,2014-04-14 00:00:00+00:00,,01_HOOFD_065_0,create procedure confirmation,2014-04-15 07:37:24+00:00,2014-04-13 22:00:00+00:00,2670601,9264148,procedurebevestiging aanmaken,01_HOOFD_065_0,complete,2014-07-17 22:00:00+00:00,O,157.09305,Beschikking verzonden,557669,10009138,560464.0,"Bouw,Reclame",Termijn bezwaar en beroep 1,2014-07-17 22:00:00+00:00,2014-04-10 22:00:00+00:00,True,10009280.0,,,,
False,2014-04-14 00:00:00+00:00,,01_HOOFD_110_0,create subcases completeness,2014-04-15 07:37:27+00:00,2014-04-13 22:00:00+00:00,2670601,9264148,deelzaken volledigheid aanmaken,01_HOOFD_110_0,complete,2014-07-17 22:00:00+00:00,O,157.09305,Beschikking verzonden,557669,10009138,560464.0,"Bouw,Reclame",Termijn bezwaar en beroep 1,2014-07-17 22:00:00+00:00,2014-04-10 22:00:00+00:00,True,10009280.0,,,,
False,2014-04-14 00:00:00+00:00,,01_HOOFD_100_0,create publication document,2014-04-15 07:37:51+00:00,2014-04-13 22:00:00+00:00,2670601,9264148,publicatie document aanmaken,01_HOOFD_100_0,complete,2014-07-17 22:00:00+00:00,O,157.09305,Beschikking verzonden,557669,10009138,560464.0,"Bouw,Reclame",Termijn bezwaar en beroep 1,2014-07-17 22:00:00+00:00,2014-04-10 22:00:00+00:00,True,10009280.0,,,,
EMPTY,2014-04-14 00:00:00+00:00,,01_HOOFD_015,phase application received,2014-04-15 07:34:03+00:00,2014-04-13 22:00:00+00:00,2670601,9264148,fase aanvraag ontvangen,01_HOOFD_015,complete,2014-07-17 22:00:00+00:00,O,157.09305,Beschikking verzonden,557669,10009138,560464.0,"Bouw,Reclame",Termijn bezwaar en beroep 1,2014-07-17 22:00:00+00:00,2014-04-10 22:00:00+00:00,True,10009280.0,,,,
EMPTY,2014-04-14 00:00:00+00:00,,01_HOOFD_061,start WABOprocedure,2014-04-15 07:37:24+00:00,2014-04-13 22:00:00+00:00,2670601,9264148,WABOprocedure instellen,01_HOOFD_061,complete,2014-07-17 22:00:00+00:00,O,157.09305,Beschikking verzonden,557669,10009138,560464.0,"Bouw,Reclame",Termijn bezwaar en beroep 1,2014-07-17 22:00:00+00:00,2014-04-10 22:00:00+00:00,True,10009280.0,,,,
